MES,USD INICIO,APORTES,USD FINAL,VAR (%),VAR SPY(%),DIFERENCIA
MARZO (2024),151,89,158.0,4.64%,3.27%,1.37%
ABRIL (2024),247,91,238.0,-3.64%,-2.83%,-0.81%
MAYO (2024),329,87.5,349.0,6.08%,5.06%,1.02%
JUNIO (2024),436.5,71,413.0,-5.38%,4.45%,-9.83%
JULIO (2024),484,72,492.0,1.65%,1.14%,0.51%
AGOSTO (2024),564,249,586.0,3.90%,2.32%,1.58%
SEPTIEMBRE (2024),835,261,898.0,7.54%,1.84%,5.70%
OCTUBRE (2024),1159,275,1.192,2.85%,-0.89%,3.74%
NOVIEMBRE (2024),1467,288,1607.0,9.54%,5.96%,3.58%
DICIEMBRE (2024),1895,0,1749.0,-7.70%,-2.41%,-5.29%
ENERO (2025),1749,0,1876.0,7.26%,2.69%,4.57%
FEBRERO (2025),1876,273,1751.0,-6.66%,-1.27%,-5.39%
MARZO (2025),2024,238,1906.0,-5.83%,-5.86%,0.03%
ABRIL (2025),2144,281,2179.0,1.63%,-0.87%,2.50%
MAYO (2025),2460,303,2550.0,3.66%,6.30%,-2.64%
JUNIO (2025),2853,290,2822.0,-1.09%,4.84%,-5.93%
JULIO (2025),3112,262,3120.0,0.26%,2.30%,-2.04%
AGOSTO (2025),3382,302,3250.0,-3.90%,2.05%,-5.95%
SEPTIEMBRE (2025),3552,278,3733.0,5.10%,3.28%,1.82%
OCTUBRE (2025),4011,256,4080.0,1.72%,2.38%,-0.66%
NOVIEMBRE (2025),4336,275,4450.0,2.63%,0.19%,2.44%
DICIEMBRE (2025),4725,268,4686.0,-0.83%,0.91%,-1.74%
ENERO (2026),4954,269,5052.0,1.98%,1.47%,0.51%
FEBRERO (2026),5321,327,5129.0,-3.61%,-0.84%,-2.77%
MARZO (2026),5456,327,5560.0,1.91%,-4.94%,6.85%
ABRIL (2026),5887,320,6184.0,5.05%,10.51%,-5.46%
MAYO (2026),6504,320,6520.0,0.25%,2.51%,-2.26%
JUNIO (2026),6840,313,6520.0,-4.68%,2.51%,-7.19%
JULIO (2026),6833,0,7100.0,3.91%,0.21%,3.70%
